elapsed_s,speed_kmh,rpm,power_w,resistance,heart_rate_bpm,cum_distance_m
2950,25.91,109,93,3,140,23432
2960,27.36,115,107,4,14,23512
2970,27.2,112,104,4,84,23577
2980,28.32,111,116,5,136,23657
2990,29.93,117,134,6,14,23738
3000,30.09,119,136,6,133,23818
3010,29.61,114,131,6,149,23915
3020,29.93,117,135,6,150,23995
3030,29.29,110,127,6,106,24076
3040,28.32,107,116,5,76,24156
3050,27.68,108,110,5,150,24237
3060,26.72,110,99,4,148,24301
3070,24.94,104,84,3,102,24382
3080,23.34,101,71,2,149,24446
3090,21.73,102,59,1,146,24510
3100,21.57,102,58,1,140,24559
3110,21.24,100,57,1,133,24623
3120,21.08,99,56,1,133,24687
3130,21.57,102,58,1,133,24736
